job.name,scen.name,rep.name,rep.methods,model,coef_of_interest,N,imp_m,imp_maxit,mice_method,dag_name,method,bhat,bhat_lo,bhat_hi,bhat_width,overall.error,beta,form_string,gold_form_string,sancheck.prop_complete,sancheck.di_ours.vars
job_1,1,13,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.153071899025026,-0.0612765510951551,0.367420349145207,0.428696900240362,,0,A ~ 1,A1 ~ 1,0.468,C A
job_1,1,13,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,0.0856906881583797,-0.0775503078478361,0.248931684164596,0.326481992012432,,0,A ~ 1,A1 ~ 1,0.468,C A
job_1,1,14,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.103999871838951,-0.238274278457514,0.0302745347796115,0.268548813237126,,0,A ~ 1,A1 ~ 1,0.512,C A
job_1,1,14,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.106932727390444,-0.293016901560715,0.0791514467798263,0.372168348340541,,0,A ~ 1,A1 ~ 1,0.512,C A
job_1,1,14,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.065985195452137,-0.207736114657907,0.0757657237536326,0.283501838411539,,0,A ~ 1,A1 ~ 1,0.512,C A
job_1,1,15,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.0653539393437566,-0.071676314058829,0.202384192746342,0.274060506805171,,0,A ~ 1,A1 ~ 1,0.495,C A
job_1,1,15,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.0343813065801254,-0.160473512934858,0.229236126095109,0.389709639029967,,0,A ~ 1,A1 ~ 1,0.495,C A
job_1,1,15,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,0.0453580640510292,-0.154749042174996,0.245465170277055,0.400214212452051,,0,A ~ 1,A1 ~ 1,0.495,C A
job_1,1,16,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.00200307354255471,-0.131738451694601,0.13574459877971,0.267483050474311,,0,A ~ 1,A1 ~ 1,0.496,C A
job_1,1,16,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.00919386413351633,-0.204198514209501,0.185810785942468,0.390009300151969,,0,A ~ 1,A1 ~ 1,0.496,C A
job_1,1,16,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.00568531278841125,-0.163010507467713,0.15163988189089,0.314650389358603,,0,A ~ 1,A1 ~ 1,0.496,C A
job_1,1,17,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.0592805166858386,-0.203807267072491,0.0852462337008141,0.289053500773305,,0,A ~ 1,A1 ~ 1,0.511,C A
job_1,1,17,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.165837717733535,-0.496619173191191,0.164943737724121,0.661562910915312,,0,A ~ 1,A1 ~ 1,0.511,C A
job_1,1,17,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.0981146228880655,-0.267028657593418,0.0707994118172866,0.337828069410704,,0,A ~ 1,A1 ~ 1,0.511,C A
job_1,1,18,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.0759456303335965,-0.212822118746223,0.0609308580790302,0.273752976825253,,0,A ~ 1,A1 ~ 1,0.496,C A
job_1,1,18,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.162742507443449,-0.346694675743074,0.021209660856175,0.367904336599249,,0,A ~ 1,A1 ~ 1,0.496,C A
job_1,1,18,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.220331087260347,-0.402209521678793,-0.038452652841901,0.363756868836892,,0,A ~ 1,A1 ~ 1,0.496,C A
job_1,1,19,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.0218426872035031,-0.156447087966951,0.112761713559945,0.269208801526895,,0,A ~ 1,A1 ~ 1,0.504,C A
job_1,1,19,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.104289356126429,-0.245305950025244,0.0367272377723873,0.282033187797632,,0,A ~ 1,A1 ~ 1,0.504,C A
job_1,1,19,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.159655597874957,-0.389454982353555,0.070143786603641,0.459598768957196,,0,A ~ 1,A1 ~ 1,0.504,C A
job_1,1,20,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.018685845770746,-0.122859310872674,0.160231002414166,0.28309031328684,,0,A ~ 1,A1 ~ 1,0.476,C A
job_1,1,20,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.0980436554336999,-0.0711156137019719,0.267202924569372,0.338318538271344,,0,A ~ 1,A1 ~ 1,0.476,C A
job_1,1,20,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,0.151873723100598,-0.0658974946311932,0.369644940832389,0.435542435463582,,0,A ~ 1,A1 ~ 1,0.476,C A
job_1,1,21,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.0483157028468257,-0.0922065300883187,0.18883793578197,0.281044465870289,,0,A ~ 1,A1 ~ 1,0.468,C A
job_1,1,21,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.168208404486739,-0.0612192216495693,0.397636030623047,0.458855252272616,,0,A ~ 1,A1 ~ 1,0.468,C A
job_1,1,21,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,0.154031032926259,-0.124758519685283,0.432820585537801,0.557579105223084,,0,A ~ 1,A1 ~ 1,0.468,C A
job_1,1,22,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.0077721567267056,-0.132857022558229,0.14840133601164,0.281258358569869,,0,A ~ 1,A1 ~ 1,0.53,C A
job_1,1,22,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.0679452065365796,-0.253695106383971,0.389585519457131,0.643280625841102,,0,A ~ 1,A1 ~ 1,0.53,C A
job_1,1,22,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,0.0300576864559624,-0.22765477000612,0.287770142918045,0.515424912924165,,0,A ~ 1,A1 ~ 1,0.53,C A
job_1,1,23,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.0653405570817665,-0.074931500600417,0.20561261476395,0.280544115364367,,0,A ~ 1,A1 ~ 1,0.499,C A
job_1,1,23,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.131159992441999,-0.0832979855944997,0.345617970478497,0.428915956072997,,0,A ~ 1,A1 ~ 1,0.499,C A
job_1,1,23,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,0.122383075017185,-0.0334310073286842,0.278197157363055,0.311628164691739,,0,A ~ 1,A1 ~ 1,0.499,C A
job_1,1,24,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.0154711408928991,-0.158680013614971,0.127737731829173,0.286417745444144,,0,A ~ 1,A1 ~ 1,0.515,C A
job_1,1,24,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.16193609981842,-0.308418620042304,-0.0154535795945362,0.292965040447768,,0,A ~ 1,A1 ~ 1,0.515,C A
job_1,1,24,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.223253658758721,-0.458132029317726,0.0116247118002839,0.46975674111801,,0,A ~ 1,A1 ~ 1,0.515,C A
job_1,1,25,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.0603893734683919,-0.079214774177501,0.199993521114285,0.279208295291786,,0,A ~ 1,A1 ~ 1,0.525,C A
job_1,1,25,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.0636437847051005,-0.176015178974778,0.303302748384979,0.479317927359757,,0,A ~ 1,A1 ~ 1,0.525,C A
job_1,1,25,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,0.0731907489691139,-0.148149357945308,0.294530855883536,0.442680213828844,,0,A ~ 1,A1 ~ 1,0.525,C A
job_1,1,26,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,-0.115286960365989,-0.250567627387676,0.0199937066556988,0.270561334043375,,0,A ~ 1,A1 ~ 1,0.501,C A
job_1,1,26,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,-0.131299477669818,-0.363840675915572,0.101241720575935,0.465082396491507,,0,A ~ 1,A1 ~ 1,0.501,C A
job_1,1,26,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,Am-ours,-0.136560412549274,-0.403362476962205,0.130241651863657,0.533604128825862,,0,A ~ 1,A1 ~ 1,0.501,C A
job_1,1,27,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,gold,0.0759843872382151,-0.0583691030008097,0.21033787747724,0.26870698047805,,0,A ~ 1,A1 ~ 1,0.48,C A
job_1,1,27,gold ; MVN-CC-ours ; Am-ours,OLS,(Intercept),1000,5,100,norm,1B,MVN-CC-ours,0.106203680670699,-0.329869647850304,0.542277009191702,0.872146657042006,,0,A ~ 1,A1 ~ 1,0.48,C A
